"year","make","model","trim","body","transmission","vin","state","condition","odometer","color","interior","seller","mmr","sellingprice","saledate","saledate_clean"
2000,"Acura","Tl","3.2","Sedan","Automatic","19uua5663ya022038","fl",19,105420,"gold","beige","autonation toyota scion weston",2150,1100,"Tue Dec 23 2014 12:15:00 GMT-0800 (PST)",2014-12-23
2000,"Acura","Tl","3.2","Sedan","Automatic","19uua5663ya022038","fl",19,105431,"gold","tan","autonation toyota scion weston",2325,1000,"Tue Jan 27 2015 10:00:00 GMT-0800 (PST)",2015-01-27
2006,"Acura","Tl","Base","Sedan","Manual","19uua65596a059705","nj",26,89661,"white","brown","santander consumer",9025,8200,"Wed Jan 28 2015 01:30:00 GMT-0800 (PST)",2015-01-28
2006,"Acura","Tl","Base","Sedan","Manual","19uua65596a059705","nj",25,89741,"white","black","meridian remarketing",9100,8500,"Wed Mar 04 2015 01:30:00 GMT-0800 (PST)",2015-03-04
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66215a070166","ca",37,131725,"silver","gray","premium auto wholesale",6400,7800,"Thu Jan 15 2015 04:00:00 GMT-0800 (PST)",2015-01-15
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66215a070166","ca",37,131727,"silver","gray","premium auto wholesale",6600,6900,"Thu Jan 22 2015 04:00:00 GMT-0800 (PST)",2015-01-22
2008,"Acura","Tl","Base","Sedan","Automatic","19uua66228a015410","az",35,91649,"gray","black","earnhardt",10750,11000,"Thu Jan 15 2015 03:00:00 GMT-0800 (PST)",2015-01-15
2008,"Acura","Tl","Base","Sedan","Automatic","19uua66228a015410","az",23,92029,"gray","black","remarketing by ge/manheim phoenix",10200,9700,"Thu Feb 26 2015 03:00:00 GMT-0800 (PST)",2015-02-26
2008,"Acura","Tl","Base","Sedan","Other","19uua66228a024043","nc",37,78758,"white","tan","hendrick lexus",10750,12600,"Wed Feb 25 2015 06:00:00 GMT-0800 (PST)",2015-02-25
2008,"Acura","Tl","Base","Sedan","Other","19uua66228a024043","nc",48,78807,"white","beige","medlin buick gmc mazda",10950,13100,"Tue Mar 03 2015 01:15:00 GMT-0800 (PST)",2015-03-03
2004,"Acura","Tl","3.2","Sedan","Automatic","19uua66234a054081","ga",19,98662,"white","tan","capital one auto finance",6575,6500,"Tue Feb 24 2015 01:30:00 GMT-0800 (PST)",2015-02-24
2004,"Acura","Tl","3.2","Sedan","Automatic","19uua66234a054081","ga",28,98667,"white","tan","cameron motor sports",6425,7800,"Thu Feb 26 2015 02:00:00 GMT-0800 (PST)",2015-02-26
2006,"Acura","Tl","Base","Sedan","Automatic","19uua66236a009984","fl",25,152599,"white","beige","d&a fine cars",6050,5200,"Tue Dec 30 2014 09:30:00 GMT-0800 (PST)",2014-12-30
2006,"Acura","Tl","Base","Sedan","Automatic","19uua66236a009984","fl",21,152609,"white","tan","d&a fine cars",5750,5300,"Tue Jan 20 2015 01:20:00 GMT-0800 (PST)",2015-01-20
2007,"Acura","Tl","Base","Sedan","Automatic","19uua66247a017478","ca",19,129997,"white","black","onemain rem/m&m auto traders",7700,8200,"Thu Dec 18 2014 12:00:00 GMT-0800 (PST)",2014-12-18
2007,"Acura","Tl","Base","Sedan","Automatic","19uua66247a017478","ca",21,130077,"white","gray","onemain rem/m&m auto traders",8325,7600,"Wed Jan 14 2015 04:30:00 GMT-0800 (PST)",2015-01-14
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66255a066850","md",23,106312,"silver","black","lexus of silver spring",7275,7600,"Tue Jan 06 2015 01:30:00 GMT-0800 (PST)",2015-01-06
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66255a066850","md",2,106347,"gray","black","remarketing by ge/manheim baltimore washington",7550,4300,"Tue Feb 03 2015 05:00:00 GMT-0800 (PST)",2015-02-03
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66265a007242","ca",19,175649,"white","beige","800 loan mart",4250,3900,"Thu Dec 18 2014 12:00:00 GMT-0800 (PST)",2014-12-18
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66265a007242","ca",21,175653,"white","beige","meridian remarketing",4425,4000,"Thu Mar 05 2015 04:00:00 GMT-0800 (PST)",2015-03-05
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66275a034305","nc",21,154836,"gray","gray","hendrick honda",5400,5800,"Wed Jan 14 2015 06:30:00 GMT-0800 (PST)",2015-01-14
2005,"Acura","Tl","3.2","Sedan","Automatic","19uua66275a034305","nc",21,154944,"gray","gray","hendrick honda",5475,5650,"Wed Feb 04 2015 06:00:00 GMT-0800 (PST)",2015-02-04
2006,"Acura","Tl","Base","Sedan","Automatic","19uua66276a059478","ga",25,127074,"white","tan","rick hendrick chevrolet",7050,7100,"Tue Jan 27 2015 05:00:00 GMT-0800 (PST)",2015-01-27
2006,"Acura","Tl","Base","Sedan","Automatic","19uua66276a059478","ga",27,127079,"white","tan","autonation honda thornton road",7325,7300,"Tue Mar 03 2015 04:30:00 GMT-0800 (PST)",2015-03-03
2006,"Acura","Tl","Base","Sedan","Automatic","19uua66286a007499","nc",28,158870,"blue","gray","crossroads infiniti south inc",5625,5700,"Mon Jan 05 2015 01:00:00 GMT-0800 (PST)",2015-01-05
2006,"Acura","Tl","Base","Sedan","Automatic","19uua66286a007499","nc",37,158959,"blue","gray","primeritus remarketing/yem",5250,6900,"Mon Feb 09 2015 01:30:00 GMT-0800 (PST)",2015-02-09
2007,"Acura","Tl","Type-S","Sedan","Other","19uua76507a015601","pa",39,75280,"black","black","nextgear capital",14400,14500,"Fri May 22 2015 02:00:00 GMT-0700 (PDT)",2015-05-22
2007,"Acura","Tl","Type-S","Sedan","Other","19uua76507a015601","pa",39,75707,"Unknown","black","r hollenshead auto sales inc",14650,14600,"Fri Jun 05 2015 02:00:00 GMT-0700 (PDT)",2015-06-05
2008,"Acura","Tl","Type-S","Sedan","Other","19uua76568a039063","pa",19,79728,"gray","tan","ahfc/honda lease trust/hvt  inc.",16450,13200,"Fri Jan 23 2015 01:00:00 GMT-0800 (PST)",2015-01-23
2008,"Acura","Tl","Type-S","Sedan","Other","19uua76568a039063","pa",2,79732,"gray","gray","remarketing by ge/manheim pennsylvania",15300,12800,"Fri Feb 20 2015 09:00:00 GMT-0800 (PST)",2015-02-20
2007,"Acura","Tl","Type-S","Sedan","Automatic","19uua76577a004577","ca",27,94185,"black","black","desert fleet lease",12100,12800,"Tue Dec 30 2014 12:30:00 GMT-0800 (PST)",2014-12-30
2007,"Acura","Tl","Type-S","Sedan","Automatic","19uua76577a004577","ca",3,94382,"black","black","advanced fleet services",13350,12250,"Tue Jun 02 2015 05:30:00 GMT-0700 (PDT)",2015-06-02
2007,"Acura","Tl","Type-S","Sedan","Automatic","19uua76577a034498","ca",3,81418,"blue","black","remarketing by ge/billion dodge",12700,12000,"Wed Jan 28 2015 04:30:00 GMT-0800 (PST)",2015-01-28
2007,"Acura","Tl","Type-S","Sedan","Automatic","19uua76577a034498","ca",3,81420,"blue","black","remarketing by ge/billion dodge",12950,11500,"Wed Feb 11 2015 04:30:00 GMT-0800 (PST)",2015-02-11
2008,"Acura","Tl","Type-S","Sedan","Automatic","19uua76588a041395","ny",29,94139,"gray","gray","santander consumer",14650,13000,"Wed Jan 28 2015 01:50:00 GMT-0800 (PST)",2015-01-28
2008,"Acura","Tl","Type-S","Sedan","Automatic","19uua76588a041395","nc",23,94204,"gray","black","t & k enterprises of mt airy inc",13800,14000,"Tue Feb 17 2015 02:00:00 GMT-0800 (PST)",2015-02-17
2009,"Acura","Tl","Base","Sedan","Automatic","19uua86299a003557","nj",37,95551,"black","tan","dover fcu",12900,11000,"Wed Jan 07 2015 09:30:00 GMT-0800 (PST)",2015-01-07
2009,"Acura","Tl","Base","Sedan","Automatic","19uua86299a003557","nj",28,95567,"black","tan","advanced auto brokers llc",13300,12800,"Wed Feb 11 2015 01:30:00 GMT-0800 (PST)",2015-02-11
2012,"Acura","Tl","Base","Sedan","Other","19uua8f21ca030789","pa",28,48516,"black","black","ahfc/honda lease/trust/hvt  inc. eot acuras",17750,16500,"Fri Jan 16 2015 01:00:00 GMT-0800 (PST)",2015-01-16
2012,"Acura","Tl","Base","Sedan","Other","19uua8f21ca030789","pa",45,48669,"black","black","tdaf remarketing",17750,18400,"Fri Feb 20 2015 09:00:00 GMT-0800 (PST)",2015-02-20
2012,"Acura","Tl","Base","Sedan","Automatic","19uua8f25ca016667","ga",42,27246,"black","beige","ahfc/honda lease/trust/hvt  inc. eot acuras",19200,21400,"Thu Jan 15 2015 02:00:00 GMT-0800 (PST)",2015-01-15
2012,"Acura","Tl","Base","Sedan","Automatic","19uua8f25ca016667","tn",41,27563,"black","tan","meridian remarketing",18900,20200,"Wed Mar 04 2015 02:30:00 GMT-0800 (PST)",2015-03-04
2012,"Acura","Tl","Base","Sedan","Other","19uua8f29ca016672","nj",35,31356,"black","beige","ahfc/honda lease trust/hvt  inc acuras",18850,17900,"Wed Jan 28 2015 02:00:00 GMT-0800 (PST)",2015-01-28
2012,"Acura","Tl","Base","Sedan","Other","19uua8f29ca016672","pa",37,31391,"black","beige","carplex holdings llc",18650,19800,"Fri Mar 06 2015 01:15:00 GMT-0800 (PST)",2015-03-06
2012,"Acura","Tl","Technology Package","Sedan","Automatic","19uua8f51ca018250","pa",29,15303,"black","tan","ahfc/honda lease/trust/hvt  inc. eot acuras",22800,19000,"Fri Jan 23 2015 01:00:00 GMT-0800 (PST)",2015-01-23
2012,"Acura","Tl","Technology Package","Sedan","Other","19uua8f51ca018250","pa",42,15702,"black","tan","best auto wholesale",22500,21900,"Fri Feb 13 2015 01:00:00 GMT-0800 (PST)",2015-02-13
2011,"Acura","Tl","Base","Sedan","Automatic","19uua8f58ba004103","ca",41,73501,"red","tan","arrowhead auto group inc",14750,15500,"Tue Dec 30 2014 15:00:00 GMT-0800 (PST)",2014-12-30
2011,"Acura","Tl","Base","Sedan","Automatic","19uua8f58ba004103","ca",25,73675,"red","gray","onemain rem/m&m auto traders",15900,16400,"Wed Feb 04 2015 04:30:00 GMT-0800 (PST)",2015-02-04
2012,"Acura","Tl","Technology Package","Sedan","Other","19uua8f5xca019123","pa",22,57368,"black","gray","ahfc/honda lease/trust/hvt  inc. eot acuras",18550,17300,"Fri Jan 23 2015 01:00:00 GMT-0800 (PST)",2015-01-23
2012,"Acura","Tl","Technology Package","Sedan","Other","19uua8f5xca019123","pa",19,57374,"black","gray","remarketing by ge/manheim pennsylvania",18350,16000,"Fri Feb 20 2015 09:00:00 GMT-0800 (PST)",2015-02-20
2013,"Acura","Tl","SH-AWD w/Technology Package","Sedan","Other","19uua9f53da001179","pa",29,1,"black","black","ahfc/honda lease trust/hvt  inc.",21100,4750,"Fri Apr 10 2015 02:00:00 GMT-0700 (PDT)",2015-04-10
2013,"Acura","Tl","SH-AWD w/Technology Package","Sedan","Other","19uua9f53da001179","pa",38,13146,"black","black","ahfc/honda lease trust/hvt  inc acuras",29400,29600,"Fri Jan 16 2015 01:00:00 GMT-0800 (PST)",2015-01-16
2013,"Acura","Tl","SH-AWD w/Technology Package","Sedan","Automatic","19uua9f54da002485","nj",4,40909,"black","brown","wzs auto sales inc",24000,24000,"Wed Jan 21 2015 01:30:00 GMT-0800 (PST)",2015-01-21
2013,"Acura","Tl","SH-AWD w/Technology Package","Sedan","Automatic","19uua9f54da002485","va",32,40957,"black","brown","meridian remarketing",22800,22800,"Thu Feb 19 2015 01:05:00 GMT-0800 (PST)",2015-02-19
2001,"Acura","Cl","3.2","Coupe","Automatic","19uya42421a035613","md",34,187787,"black","black","jim coleman toyota inc",1725,2000,"Tue Feb 03 2015 01:30:00 GMT-0800 (PST)",2015-02-03
2001,"Acura","Cl","3.2","Coupe","Automatic","19uya42421a035613","md",24,187818,"black","black","remarketing by ge/manheim baltimore washington",1975,1600,"Tue Feb 24 2015 01:30:00 GMT-0800 (PST)",2015-02-24
2001,"Acura","Cl","3.2","Coupe","Automatic","19uya424x1a019370","fl",28,63796,"white","gray","extreme automotive corp",2825,4600,"Fri Jan 23 2015 01:30:00 GMT-0800 (PST)",2015-01-23
2001,"Acura","Cl","3.2","Coupe","Automatic","19uya424x1a019370","fl",29,63810,"white","tan","remarketing by ge/manheim ft. lauderdale",3100,4300,"Fri Feb 06 2015 01:50:00 GMT-0800 (PST)",2015-02-06
2013,"Acura","Ilx","Technology Package","Sedan","Automatic","19vde1f71de005257","fl",46,32448,"gray","black","napleton's palm beach acura",19200,18300,"Thu Jan 22 2015 02:05:00 GMT-0800 (PST)",2015-01-22
2013,"Acura","Ilx","Technology Package","Sedan","Automatic","19vde1f71de005257","fl",42,32451,"gray","black","pines auto brokers",18950,19000,"Wed Feb 04 2015 01:35:00 GMT-0800 (PST)",2015-02-04
2013,"Acura","Ilx","Technology Package","Sedan","Automatic","19vde1f72de000052","in",34,71331,"black","black","honda of america manufacturing",17750,15000,"Thu Jan 22 2015 02:10:00 GMT-0800 (PST)",2015-01-22
2013,"Acura","Ilx","Technology Package","Sedan","Automatic","19vde1f72de000052","tn",46,71333,"black","black","sullivan auto group llc",15200,16500,"Wed Jan 28 2015 02:30:00 GMT-0800 (PST)",2015-01-28
2013,"Acura","Ilx","Technology Package","Sedan","Automatic","19vde1f76de000328","in",37,58473,"black","tan","honda of america manufacturing",17750,16500,"Thu Jan 22 2015 02:10:00 GMT-0800 (PST)",2015-01-22
2013,"Acura","Ilx","Technology Package","Sedan","Automatic","19vde1f76de000328","tn",43,58475,"black","tan","sullivan auto group llc",16800,17500,"Wed Feb 04 2015 02:30:00 GMT-0800 (PST)",2015-02-04
2009,"Honda","Civic","EX","Sedan","Automatic","19xfa16869e016749","oh",44,72896,"silver","gray","wells fargo dealer services",8325,10100,"Tue Jan 13 2015 12:00:00 GMT-0800 (PST)",2015-01-13
2009,"Honda","Civic","EX","Sedan","Automatic","19xfa16869e016749","oh",27,72899,"silver","gray","meridian remarketing",8975,9000,"Tue Feb 17 2015 01:30:00 GMT-0800 (PST)",2015-02-17
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f53ce321836","ca",35,28021,"gold","gray","ahfc/honda lease trust/hvt  inc. eot",10950,12000,"Thu Feb 12 2015 04:00:00 GMT-0800 (PST)",2015-02-12
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f53ce321836","az",3,28049,"gray","beige","meridian remarketing",11150,12000,"Thu Feb 26 2015 03:00:00 GMT-0800 (PST)",2015-02-26
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f55ce074674","fl",39,26641,"gray","gray","gm financial",11000,10800,"Thu Feb 12 2015 01:40:00 GMT-0800 (PST)",2015-02-12
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f55ce074674","fl",25,26773,"gray","gray","manheim tampa",11300,11200,"Thu Mar 05 2015 01:35:00 GMT-0800 (PST)",2015-03-05
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f56ce326660","pa",24,17802,"silver","gray","ahfc/honda lease trust/hvt  inc.",11850,11200,"Fri Jan 02 2015 09:00:00 GMT-0800 (PST)",2015-01-02
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f56ce326660","pa",33,18126,"silver","gray","j cars",11550,12000,"Fri Feb 20 2015 09:30:00 GMT-0800 (PST)",2015-02-20
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f57ce318096","pa",36,22401,"gray","gray","ahfc/honda lease trust/hvt  inc. eot",11500,10900,"Fri Jan 23 2015 01:00:00 GMT-0800 (PST)",2015-01-23
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f57ce318096","mo",36,22471,"gray","gray","meridian remarketing",11250,10900,"Tue Feb 10 2015 03:00:00 GMT-0800 (PST)",2015-02-10
2013,"Honda","Civic","LX PZEV","Sedan","Automatic","19xfb2f57de014459","fl",4,28812,"blue","gray","santander consumer",13150,12500,"Thu Feb 26 2015 01:35:00 GMT-0800 (PST)",2015-02-26
2013,"Honda","Civic","LX PZEV","Sedan","Automatic","19xfb2f57de014459","fl",45,28823,"blue","gray","sullivan auto group llc",13300,14000,"Thu Mar 05 2015 01:40:00 GMT-0800 (PST)",2015-03-05
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f58ce061904","ga",27,56212,"gray","gray","wells fargo dealer services",10100,9600,"Tue Dec 30 2014 13:00:00 GMT-0800 (PST)",2014-12-30
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f58ce061904","ga",27,56250,"gray","gray","wells fargo dealer services",10200,8700,"Thu Jan 15 2015 02:00:00 GMT-0800 (PST)",2015-01-15
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f59ce330119","pa",38,35887,"silver","gray","ahfc/honda lease trust/hvt  inc. eot",10700,11200,"Fri Feb 06 2015 01:00:00 GMT-0800 (PST)",2015-02-06
2012,"Honda","Civic","LX","Sedan","Other","19xfb2f59ce330119","pa",35,35910,"silver","beige","shockley honda",10600,10300,"Fri May 29 2015 02:00:00 GMT-0700 (PDT)",2015-05-29
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f59ce382947","ca",42,28391,"white","gray","ahfc/honda lease trust/hvt  inc.",11500,13000,"Thu Dec 18 2014 12:00:00 GMT-0800 (PST)",2014-12-18
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f59ce382947","ca",31,28517,"white","gray","remarketing by ge/manheim southern california",11450,12000,"Thu Jan 08 2015 12:00:00 GMT-0800 (PST)",2015-01-08
2013,"Honda","Civic","LX","Sedan","Automatic","19xfb2f59de242690","ca",29,38960,"gray","beige","ahfc/honda lease trust/hvt  inc.",12400,11800,"Tue Jan 13 2015 13:00:00 GMT-0800 (PST)",2015-01-13
2013,"Honda","Civic","LX PZEV","Sedan","Automatic","19xfb2f59de242690","ca",42,38982,"gray","gray","remarketing by ge/xpress rent a car",12500,13750,"Tue Feb 03 2015 04:00:00 GMT-0800 (PST)",2015-02-03
2013,"Honda","Civic","LX","Sedan","Automatic","19xfb2f59de259134","nj",35,10639,"black","black","ahfc/honda lease trust/hvt  inc.",14200,12000,"Wed Dec 31 2014 09:30:00 GMT-0800 (PST)",2014-12-31
2013,"Honda","Civic","LX PZEV","Sedan","Automatic","19xfb2f59de259134","nc",44,10778,"black","black","t & k enterprises of mt airy inc",14050,13700,"Tue Jan 13 2015 10:00:00 GMT-0800 (PST)",2015-01-13
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f5xce324961","nj",31,35107,"blue","gray","ahfc/honda lease trust/hvt  inc. eot",11300,12700,"Wed Mar 25 2015 02:30:00 GMT-0700 (PDT)",2015-03-25
2012,"Honda","Civic","LX","Sedan","Automatic","19xfb2f5xce324961","nj",28,35117,"blue","gray","daron motors llc",10550,9100,"Wed Jun 03 2015 02:30:00 GMT-0700 (PDT)",2015-06-03
2013,"Honda","Civic","EX","Sedan","Automatic","19xfb2f80de232916","ca",37,15705,"black","gray","culver city honda",13700,13750,"Wed Jun 03 2015 05:30:00 GMT-0700 (PDT)",2015-06-03
2013,"Honda","Civic","EX","Sedan","Automatic","19xfb2f80de232916","ca",37,15706,"black","gray","culver city honda",13700,12500,"Wed Jun 17 2015 05:30:00 GMT-0700 (PDT)",2015-06-17
2013,"Honda","Civic","EX","Sedan","Automatic","19xfb2f83de272505","ca",37,24369,"black","black","santander consumer",13950,15000,"Thu Feb 19 2015 04:00:00 GMT-0800 (PST)",2015-02-19
2013,"Honda","Civic","EX","Sedan","Automatic","19xfb2f83de272505","ca",47,24373,"black","black","california auto wholesale",14000,16400,"Wed Feb 25 2015 04:30:00 GMT-0800 (PST)",2015-02-25
2014,"Honda","Civic","EX","Sedan","Automatic","19xfb2f85ee234128","pa",29,17083,"black","black","ahfc/honda lease trust/hvt  inc.",15900,14500,"Fri Feb 13 2015 01:00:00 GMT-0800 (PST)",2015-02-13
2014,"Honda","Civic","EX","Sedan","Automatic","19xfb2f85ee234128","pa",4,17415,"black","black","all state motor inc",15800,17200,"Fri Feb 27 2015 01:00:00 GMT-0800 (PST)",2015-02-27
2012,"Honda","Civic","EX","Sedan","Automatic","19xfb2f88ce322328","pa",37,48328,"black","gray","ahfc/honda lease trust/hvt  inc. eot",11550,11700,"Fri Jan 23 2015 01:00:00 GMT-0800 (PST)",2015-01-23
2012,"Honda","Civic","EX","Sedan","Automatic","19xfb2f88ce322328","pa",36,48331,"black","gray","meridian remarketing",11600,11500,"Fri Feb 13 2015 01:00:00 GMT-0800 (PST)",2015-02-13
2013,"Honda","Civic","EX","Sedan","Automatic","19xfb2f88de059341","va",25,17896,"black","black","primeritus remarketing/koons automotive i",14500,11500,"Thu Jan 15 2015 01:20:00 GMT-0800 (PST)",2015-01-15
2013,"Honda","Civic","EX","Sedan","Automatic","19xfb2f88de059341","nc",19,18192,"black","black","manheim statesville",14450,13700,"Tue Feb 10 2015 01:15:00 GMT-0800 (PST)",2015-02-10
2012,"Honda","Civic","EX","Sedan","Automatic","19xfb2f89ce032647","mo",21,47451,"black","gray","hendrick acura overland park",10950,10500,"Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)",2015-06-03
2012,"Honda","Civic","EX","Sedan","Automatic","19xfb2f89ce032647","tx",37,47818,"black","gray","hopper motorplex inc",11000,12000,"Wed Jun 17 2015 03:15:00 GMT-0700 (PDT)",2015-06-17
2012,"Honda","Civic","EX-L","Sedan","Automatic","19xfb2f97ce308316","co",35,66886,"gray","gray","balboa thrift & loan association",11750,11300,"Tue Feb 17 2015 04:00:00 GMT-0800 (PST)",2015-02-17
2012,"Honda","Civic","EX-L","Sedan","Automatic","19xfb2f97ce308316","co",2,66941,"gray","gray","remarketing by ge/manheim denver",11400,8900,"Wed May 27 2015 04:45:00 GMT-0700 (PDT)",2015-05-27
2012,"Honda","Civic","EX-L","Sedan","Automatic","19xfb2f97ce313922","md",4,1,"white","beige","auto equity loans of de llc",14150,3900,"Tue Feb 03 2015 01:30:00 GMT-0800 (PST)",2015-02-03
2012,"Honda","Civic","EX-L","Sedan","Automatic","19xfb2f97ce313922","md",44,68059,"white","beige","auto equity loans of de llc",11100,11600,"Tue Feb 03 2015 01:30:00 GMT-0800 (PST)",2015-02-03
2012,"Honda","Civic","EX-L","Sedan","Automatic","19xfb2f9xce030379","il",4,22090,"white","gray","ahfc/honda lease trust/hvt  inc. eot",13200,13900,"Thu Feb 05 2015 02:00:00 GMT-0800 (PST)",2015-02-05
2012,"Honda","Civic","EX-L","Sedan","Automatic","19xfb2f9xce030379","ga",26,22098,"white","tan","manheim georgia",13600,12800,"Tue Mar 10 2015 02:30:00 GMT-0700 (PDT)",2015-03-10
2012,"Honda","Civic","Natural Gas","Sedan","Automatic","19xfb5f5xce000880","ca",42,50773,"gray","gray","ahfc/honda lease trust/hvt  inc.",14400,13000,"Thu Feb 26 2015 04:00:00 GMT-0800 (PST)",2015-02-26
2012,"Honda","Civic","Natural Gas","Sedan","Automatic","19xfb5f5xce000880","ca",5,50810,"gray","gray","honda cars of corona",12400,12500,"Wed May 27 2015 05:15:00 GMT-0700 (PDT)",2015-05-27
2008,"Chrysler","Aspen","Limited","Suv","Automatic","1a8hw58218f124185","ga",19,72057,"white","gray","capital one auto finance",13500,10500,"Tue Jun 16 2015 02:30:00 GMT-0700 (PDT)",2015-06-16
2008,"Chrysler","Aspen","Limited","Suv","Automatic","1a8hw58218f124185","ga",37,72072,"off-white","beige","atlanta auto distributors llc",13700,13900,"Thu Jun 18 2015 02:30:00 GMT-0700 (PDT)",2015-06-18
2007,"Chrysler","Aspen","Limited","Suv","Automatic","1a8hw58nx7f564270","pa",37,99195,"off-white","gray","alans autos",9775,10300,"Fri Dec 19 2014 09:00:00 GMT-0800 (PST)",2014-12-19
2007,"Chrysler","Aspen","Limited","Suv","Automatic","1a8hw58nx7f564270","co",36,99219,"off-white","gray","justus motors company inc",9875,11500,"Wed Feb 11 2015 03:45:00 GMT-0800 (PST)",2015-02-11
2009,"Chrysler","Aspen","Limited","Suv","Automatic","1a8hw58p49f719402","nj",2,60328,"black","gray","jpmorgan chase bank n.a.",14550,13000,"Wed May 27 2015 02:30:00 GMT-0700 (PDT)",2015-05-27
2009,"Chrysler","Aspen","Limited","Suv","Automatic","1a8hw58p49f719402","mn",28,60346,"blue","gray","morries cadillac",14050,14500,"Wed Jun 17 2015 03:30:00 GMT-0700 (PDT)",2015-06-17
2008,"Chrysler","Aspen","Limited","Suv","Automatic","1a8hx58288f135925","tx",22,93182,"silver","gray","first light fcu",9325,7600,"Wed Jan 28 2015 02:00:00 GMT-0800 (PST)",2015-01-28
2008,"Chrysler","Aspen","Limited","Suv","Automatic","1a8hx58288f135925","tx",34,93214,"silver","gray","mike motors",9625,9000,"Wed Feb 25 2015 02:00:00 GMT-0800 (PST)",2015-02-25
2007,"Chrysler","Aspen","Limited","Suv","Automatic","1a8hx58p47f517394","wi",1,99736,"gray","gray","capital one auto finance",7075,3000,"Wed Jan 21 2015 01:00:00 GMT-0800 (PST)",2015-01-21
2007,"Chrysler","Aspen","Limited","Suv","Automatic","1a8hx58p47f517394","il",23,99828,"beige","beige","tdaf remarketing",7800,7200,"Tue Feb 03 2015 02:00:00 GMT-0800 (PST)",2015-02-03
2009,"Chrysler","Aspen","Limited","Suv","Automatic","1a8hx58t69f705916","fl",39,136480,"white","gray","tim short chevrolet",5925,7800,"Tue Feb 10 2015 01:30:00 GMT-0800 (PST)",2015-02-10
2009,"Chrysler","Aspen","Limited","Suv","Automatic","1a8hx58t69f705916","fl",32,136487,"white","gray","sullivan auto group llc",6250,9300,"Thu Feb 26 2015 01:40:00 GMT-0800 (PST)",2015-02-26
2011,"Dodge","Avenger","Mainstreet","Sedan","Automatic","1b3bd1fbxbn593434","tx",21,37472,"white","black","fiserv/regions bank",9600,6500,"Tue Jan 27 2015 02:30:00 GMT-0800 (PST)",2015-01-27
2011,"Dodge","Avenger","Mainstreet","Sedan","Automatic","1b3bd1fbxbn593434","tx",43,37825,"white","black","brunson auto sales",9525,10900,"Wed Feb 25 2015 02:20:00 GMT-0800 (PST)",2015-02-25
2011,"Dodge","Avenger","Express","Sedan","Automatic","1b3bd4fb0bn543854","md",27,55229,"black","black","capital one auto finance",7875,7100,"Tue Jan 13 2015 09:30:00 GMT-0800 (PST)",2015-01-13
2011,"Dodge","Avenger","Express","Sedan","Automatic","1b3bd4fb0bn543854","md",41,55238,"black","black","remarketing by ge/manheim baltimore washington",7900,6600,"Tue Feb 03 2015 01:30:00 GMT-0800 (PST)",2015-02-03
2011,"Dodge","Avenger","Express","Sedan","Automatic","1b3bd4fb9bn588310","tn",28,67384,"silver","gray","gm financial",7300,6800,"Tue Feb 03 2015 02:30:00 GMT-0800 (PST)",2015-02-03
2011,"Dodge","Avenger","Express","Sedan","Automatic","1b3bd4fb9bn588310","tn",21,67392,"silver","black","manheim nashville",7350,4700,"Tue Feb 17 2015 02:30:00 GMT-0800 (PST)",2015-02-17
2011,"Dodge","Caliber","Mainstreet","Wagon","Automatic","1b3cb3ha0bd237607","ny",28,68009,"white","black","valley national bank",7825,6300,"Wed Feb 11 2015 02:50:00 GMT-0800 (PST)",2015-02-11
2011,"Dodge","Caliber","Mainstreet","Wagon","Automatic","1b3cb3ha0bd237607","nc",31,68069,"white","gray","t & k enterprises of mt airy inc",7975,9000,"Tue Mar 03 2015 02:00:00 GMT-0800 (PST)",2015-03-03
2011,"Dodge","Caliber","Mainstreet","Wagon","Automatic","1b3cb3ha6bd257294","tx",34,38224,"orange","gray","chrysler capital",9725,9500,"Tue Dec 23 2014 10:10:00 GMT-0800 (PST)",2014-12-23
2011,"Dodge","Caliber","Mainstreet","Wagon","Automatic","1b3cb3ha6bd257294","tx",28,38281,"orange","gray","hopper motorplex inc",9875,10300,"Wed Jan 07 2015 10:15:00 GMT-0800 (PST)",2015-01-07
